Employee # 0,Last Name 1,First Name 2,Birthday 3,Address 4,Phone Number 5,SSS # 6,Philhealth # 7,TIN # 8,Pag-ibig # 9,Status 10,Position 11,Immediate Supervisor 12,Basic Salary 13,Rice Subsidy 14,Phone Allowance 15,Clothing Allowance 16,Gross Semi-monthly Rate (BS/2) 17,Hourly Rate 18,SSS Contribution 19,Staffed Time
10001,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,820126853951,442-605-657-000,691295330870,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71,1125,
10002,Lim,Antonio,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357.14,1125,
10003,Aquino,Bianca Sofia,08/04/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357.14,1125,
10004,Reyes,Isabella,06/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357.14,1125,
10005,Hernandez,Eduard,09/23/1989,National Highway Gingoog Misamis Occidental,088-861-012,50-5577638-1,957436191812,031-702-374-000,952347222457,Regular,IT Operations and Systems,Antonio Lim,52670,1500,1000,1000,26335,313.51,1125,
10006,Villanueva,Andrea Mae,02/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands,918-621-603,49-1632020-8,382189453145,317-674-022-000,441093369646,Regular,HR Manager,Antonio Lim,52670,1500,1000,1000,26335,313.51,1125,
10007,San Jose,Brad ,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,239192926939,672-474-690-000,210850209964,Regular,HR Team Leader,Andrea Mae Villanueva,42975,1500,800,800,21488,255.80,1125,
10008,Romualdez,Alice,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte,983-606-799,55-4476527-2,545652640232,888-572-294-000,211385556888,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,133.93,1012.5,
10009,Atienza,Rosie ,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,708988234853,604-997-793-000,260107732354,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,133.93,1012.5,
10010,Alvaro,Roderick,03/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,578114853194,525-420-419-000,799254095212,Regular,Accounting Head,Bianca Sofia Aquino,52670,1500,1000,1000,26335,313.51,1125,
